Id,Label,timeset
10642,DEVIL-SLAYER/ERIC SI,
10643,"NORRISS, SISTER BARB",
10644,"BANNER, BETTY ROSS T",
10645,"ROSS, GEN. THADDEUS",
10646,COBALT MAN,
10647,MASTERMIND/JASON WYN,
10648,"ROBERTS, TED",
10649,"ARMBRUSTER, COLONEL",
10650,",""ROSS, GEN. THADDEUS",
10651,",""COBALT MAN",
10652,",""MASTERMIND/JASON WYN",
10653,",""ROBERTS, TED",
10654,GORGON [INHUMAN],
10655,LOCKJAW [INHUMAN],
10656,CRYSTAL [INHUMAN],
10657,BLACK BOLT/BLACKANTO,
10658,TRITON,
10659,KARNAK [INHUMAN],
10660,",""WARLOCK II/ADAM WARL",
10661,",""ANALYZER",
10662,",""MAN-BEAST",
10663,",""BANNER, BETTY ROSS T",
10664,WARLOCK II/ADAM WARL,
10665,ANALYZER,
10666,MAN-BEAST,
10667,ABOMINATION/EMIL BLO,
10668,RHINO,
10669,"WILSON, JIM",
10670,",""RHINO",
10671,",""ARMBRUSTER, COLONEL",
10672,",""JUGGERNAUT/CAIN MARK",
10673,",""PROFESSOR X/CHARLES",
10674,",""WILSON, JIM",
10675,",""CYCLOPS/SCOTT SUMMER",
10676,",""CORBEAU, DR. PETER",
10677,"CORBEAU, DR. PETER",
10678,JUGGERNAUT/CAIN MARK,
10679,PROFESSOR X/CHARLES,
10680,"BRICKFORD, CLAY",
10681,MISSING LINK,
10682,",""BRICKFORD, CLAY",
10683,"STACY, PAUL",
10684,VENOM/EDDIE BROCK,
10685,"PARKER, MAY",
10686,"STACY, ARTHUR",
10687,"STACY, JILL",
10688,BLADE,
10689,"ROBERTSON, JOE",
10690,"FORTUNATO, GIACOMO J",
10691,MORBIUS/DR. MICHAEL,
10692,"LEEDS, BETTY BRANT",
10693,KINGPIN/WILSON FISK,
10694,",""ROBERTSON, JOE",
10695,",""FORTUNATO, GIACOMO J",
10696,"GARTH, DONNA",
10697,ZOMBIE/SIMON GARTH,
10698,"WATSON-PARKER, MARY",
10699,"WATSON, ANNA",
10700,"SPAULDING, PETER",
10701,MACHINE MAN/X-51,
10702,JOCASTA,
10703,"GARVIN, GEARS",
10704,ULTRON,
10705,"CALDRONE, JAVIER",
10706,"JAMESON, J. JONAH",
10707,DOLMAN,
10708,"URICH, BEN",
10709,"KWAN, TERRY",
10710,OVERRIDE/DR. GREGORY,
10711,ICEMAN/ROBERT BOBBY,
10712,"THOMPSON, EUGENE FLA",
10713,"THORSON, DR. WALTER",
10714,"MAXWELL, MORRIS",
10715,"LUMLEY, JUDY",
10716,",""JAMESON, J. JONAH",
10717,",""DOLMAN",
10718,",""URICH, BEN",
10719,",""KWAN, TERRY",
10720,",""OVERRIDE/DR. GREGORY",
10721,",""ICEMAN/ROBERT BOBBY",
10722,"GRANT, GLORIA GLORY",
10723,"FAIRMONT, HANNAH",
10724,"MCCORMICK, BARRY",
10725,TOKKOTS,
10726,STAR THIEF II,
10727,GARGOYLE II/ISAAC CH,
10728,KUBIK,
10729,CLOUD,
10730,MANSLAUGHTER,
10731,",""NORRISS, SISTER BARB",
10732,",""STAR THIEF II",
10733,",""GARGOYLE II/ISAAC CH",
10734,",""KUBIK",
10735,",""CLOUD",
10736,"SOUTHERN, CANDY",
10737,INTERLOPER,
10738,MOONDRAGON/HEATHER D,
10739,",""SOUTHERN, CANDY",
10740,",""MANSLAUGHTER",
10741,",""INTERLOPER",
10742,",""MOONDRAGON/HEATHER D",
10743,",""DRAGON OF THE MOON",
10744,",""HUMAN TORCH/JOHNNY S",
10745,",""BEYONDER",
10746,DRAGON OF THE MOON,
10747,HUMAN TORCH/JOHNNY S,
10748,BEYONDER,
10749,DR. OCTOPUS/OTTO OCT,
10750,"WARD, SEN. STEWART",
10751,BULLSEYE II/BENJAMIN,
10752,MISTER HYDE/CALVIN Z,
10753,COACHWHIP,
10754,COBRA/KLAUS VORHEES,
10755,ASP II/CLEO,
10756,BUSHMASTER II/QUINCY,
10757,FER DE LANCE/TERESA,
10758,BLACK MAMBA/TANYA SE,
10759,BLACK RACER/,
10760,ROCK PYTHON,
10761,ANACONDA/BLANCHE SIT,
10762,PUFF ADDER,
10763,BOOMSLANG/,
10764,RATTLER,
10765,COPPERHEAD III/DAVIS,
10766,"MOREAU, DAVID",
10767,"RANSOME, JENNIFER AM",
10768,"MOREAU, PHILLIP",
10769,HAVOK/ALEX SUMMERS,
10770,WIPEOUT,
10771,DAZZLER II/ALLISON B,
10772,LONGSHOT,
10773,"SUMMERS, MADELYNE MA",
10774,COLOSSUS II/PETER RA,
10775,",""ROGUE /",
10776,",""RANSOME, JENNIFER AM",
10777,",""MOREAU, PHILLIP",
10778,",""MALICE IV",
10779,",""COLOSSUS II/PETER RA",
10780,",""HAVOK/ALEX SUMMERS",
10781,",""SUMMERS, MADELYNE MA",
10782,",""SUMMERS, NATHAN CHRI",
10783,",""POLARIS/LORNA DANE",
10784,",""MR. SINISTER/NATHAN",
10785,",""DAZZLER II/ALLISON B",
10786,",""N'ASTIRH",
10787,",""LONGSHOT",
10788,MALICE IV,
10789,"SUMMERS, NATHAN CHRI",
10790,POLARIS/LORNA DANE,
10791,MR. SINISTER/NATHAN,
10792,N'ASTIRH,
10793,GATEWAY,
10794,"TILBY, TRISH/PATRICI",
10795,",""TILBY, TRISH/PATRICI",
10796,"CONOVER, REV. WILLIA",
10797,"CONOVER, HANNAH",
10798,",""CONOVER, HANNAH",
10799,",""GATEWAY",
10800,WOLFSBANE/RAHNE SINC,
10801,WARLOCK III,
10802,SUNSPOT/ROBERTO DACO,
10803,MAGIK/ILLYANA RASPUT,
10804,MAGNETO/MAGNUS/ERIC,
10805,CANNONBALL II/SAM GU,
10806,MIRAGE II/DANIELLE M,
10807,",""WARLOCK III",
10808,",""SUNSPOT/ROBERTO DACO",
10809,",""MAGIK/ILLYANA RASPUT",
10810,",""MAGNETO/MAGNUS/ERIC",
10811,",""CANNONBALL II/SAM GU",
10812,",""MIRAGE II/DANIELLE M",
10813,S'YM,
10814,",""WOLFSBANE/RAHNE SINC",
10815,",""S'YM",
10816,"GRIFFITH, D.W.",
10817,MACE,
10818,"CAGE, LUKE/CARL LUCA",
10819,",""MOREAU, DAVID",
10820,PIPELINE/CORMICK GRI,
10821,PUNCHOUT,
10822,HAWKSHAW,
10823,",""PIPELINE/CORMICK GRI",
10824,",""PUNCHOUT",
10825,MOLECULE MAN/OWEN RE,
10826,",""THOR/DR. DONALD BLAK",
10827,"JARVIS, EDWIN",
10828,GHOST RIDER II/JOHNN,
10829,ANT-MAN/DR. HENRY J.,
10830,",""JARVIS, EDWIN",
10831,",""TIGRA/GREER NELSON",
10832,"ARBOGAST, BAMBI",
10833,EGGHEAD/PROF. ELIHAS,
10834,"STARR, TRIXIE TRISH",
10835,"STANKOWICZ, FABIAN",
10836,",""EGGHEAD/PROF. ELIHAS",
10837,",""STARR, TRIXIE TRISH",
10838,",""HERCULES [GREEK GOD]",
10839,",""BLACK WIDOW/NATASHA",
10840,",""ANT-MAN/DR. HENRY J.",
10841,",""MOON KNIGHT/MARC SPE",
10842,",""JOCASTA",
10843,HERCULES [GREEK GOD],
10844,BLACK WIDOW/NATASHA,
10845,MOON KNIGHT/MARC SPE,
10846,DRAX/ARTHUR DOUGLAS,
10847,"HARDY, MORGAN MACNEI",
10848,",""HARDY, MORGAN MACNEI",
10849,SPIDER-MAN CLONE/BEN,
10850,KAINE,
10851,GREGOR,
10852,"RAVEN, LT. JACOB",
10853,"TREVANE, DET. CONNOR",
10854,GRIM HUNTER/KRAVINOF,
10855,"ELLIS, KEN",
10856,"BYRNES, GAYLE WATSON",
10857,TOMBSTONE/LONNIE THO,
10858,",""LEEDS, BETTY BRANT",
10859,",""KAINE",
10860,SPIDERCIDE,
10861,JACKAL/MILES WARREN,
10862,JACK,
10863,"CAPUTO, DR. JULIA",
10864,GUARDIAN IV,
10865,",""SPIDER-MAN CLONE/BEN",
10866,",""RAVEN, LT. JACOB",
10867,",""JACK",
10868,",""PARKER, MAY",
10869,GREEN GOBLIN IV/PHIL,
